02	-0.30	-0.82	-623609	OFF	-0.30	0.14	-0.58	-0.73	-0.73	-0.19	
623909	OFF	0.68	-0.03	0.44	-0.71	-0.74	-0.18	
624037	OFF	0.42	0.30	-0.17	-0.71	-0.72	-0.19	
624164	OFF	0.70	0.31	-0.58	-0.72	-0.74	-0.17	
624291	OFF	0.99	0.37	0.85	-0.72	-0.73	-0.18	
624419	OFF	1.85	-0.38	-1.13	-0.74	-0.72	-0.19	
624546	OFF	0.92	-0.47	-0.98	-0.70	-0.73	-0.16	
624673	OFF	-0.44	-0.38	0.89	-0.73	-0.75	-0.15	
624801	OFF	-0.87	-0.63	1.29	-0.71	-0.72	-0.16	
624928	OFF	0.21	0.45	0.16	-0.72	-0.72	-0.17	
625055	OFF	0.49	0.23	-0.02	-0.73	-0.73	-0.17	
625183	OFF	-0.23	-0.09	0.07	-0.71	-0.73	-0.16	
625310	OFF	0.12	0.82	0.82	-0.73	-0.73	-0.17	
625437	OFF	-0.70	-0.21	0.87	-0.74	-0.72	-0.19	
625565	OFF	0.12	-0.37	-0.21	-0.73	-0.73	-0.17	
625692	OFF	0.65	0.92	0.54	-0.73	-0.75	-0.16	
625819	OFF	1.24	-0.16	0.75	-0.74	-0.71	-0.16	
625946	OFF	-0.09	-0.38	-0.58	-0.73	-0.72	-0.17	
626074	OFF	-0.49	0.40	-0.56	-0.73	-0.72	-0.16	
626201	OFF	0.47	-0.33	0.23	-0.74	-0.73	-0.16	
626328	OFF	0.33	-0.44	0.14	-0.74	-0.71	-0.17	
626456	OFF	0.47	0.19	-0.09	-0.73	-0.71	-0.16	
626583	OFF	0.09	-0.35	0.00	-0.73	-0.72	-0.16	
626710	OFF	0.42	0.30	-0.23	-0.73	-0.72	-0.16	
626838	OFF	1.10	-0.68	-0.12	-0.73	-0.72	-0.16	
626965	OFF	0.79	-0.87	0.40	-0.73	-0.71	-0.14	
627092	OFF	0.45	-0.31	0.40	-0.75	-0.73	-0.13	
627220	OFF	0.02	-0.21	0.14	-0.75	-0.72	-0.14	
627347	OFF	-0.07	-0.66	0.26	-0.76	-0.71	-0.14	
627474	OFF	-0.10	-0.37	0.19	-0.75	-0.72	-0.13	
627602	OFF	-0.28	-0.44	0.96	-0.76	-0.71	-0.13	
627729	OFF	0.17	-0.85	1.27	-0.75	-0.70	-0.14	
627856	OFF	0.70	-0.65	0.85	-0.76	-0.70	-0.14	
627984	OFF	0.10	-0.87	0.77	-0.77	-0.70	-0.10	
628111	OFF	0.09	-0.33	0.80	-0.77	-0.69	-0.11	
628238	OFF	-0.24	-0.37	0.63	-0.78	-0.68	-0.11	
628366	ON	-0.21	0.09	-0.30	-0.78	-0.68	-0.12	
628493	ON	-0.16	-0.05	-0.24	-0.78	-0.69	-0.11	
628620	ON	0.19	-0.31	0.23	-0.79	-0.69	-0.11	
628747	ON	0.40	-1.03	1.31	-0.79	-0.69	-0.12	
628875	ON	1.05	-1.81	2.63	-0.78	-0.68	-0.10	
629002	ON	1.90	-2.22	3.52	-0.82	-0.65	-0.07	
629129	ON	1.40	-1.67	2.37	-0.83	-0.63	-0.05	
629257	ON	1.47	-1.08	2.30	-0.84	-0.61	-0.05	
629384	ON	0.23	-1.48	2.20	-0.86	-0.60	-0.03	
629511	ON	0.72	-1.26	1.80	-0.86	-0.60	-0.03	
629639	ON	1.26	-1.27	2.11	-0.88	-0.57	-0.01	
629766	ON	0.85	-1.50	1.97	-0.88	-0.56	0.00	
629893	ON	0.47	-1.06	1.47	-0.87	-0.57	-0.02	
630021	ON	3.54	-2.37	1.85	-0.90	-0.56	0.05	
630148	ON	3.45	-3.70	5.09	-0.90	-0.52	0.08	
630275	ON	2.76	-3.23	5.63	-0.93	-0.48	0.12	
630402	ON	3.68	-4.57	8.08	-0.93	-0.42	0.15	
630530	ON	1.27	-2.53	4.45	-0.95	-0.38	0.19	
630657	ON	1.69	-2.74	4.47	-0.96	-0.35	0.18	
630784	ON	2.86	-2.55	6.63	-0.96	-0.33	0.22	
630912	ON	7.88	3.59	9.70	-0.99	-0.22	0.22	
631038	ON	3.59	-1.80	5.65	-1.02	-0.14	0.25	
631165	ON	0.23	-4.31	8.62	-1.04	-0.03	0.26	
631293	ON	-0.17	-3.93	4.90	-0.99	-0.05	0.29	
631420	ON	-0.30	-2.62	2.98	-0.99	-0.00	0.31	
631547	ON	-0.26	0.09	-1.03	-0.99	-0.01	0.34	
631675	ON	0.02	-0.26	-0.16	-0.98	-0.02	0.32	
631802	ON	-0.17	0.16	-0.40	-0.99	-0.01	0.32	
631929	ON	-0.23	-0.07	-0.45	-0.98	-0.02	0.32	
632056	ON	0.03	0.07	0.02	-0.98	-0.02	0.33	
632184	ON	-0.03	-0.51	0.52	-0.98	-0.03	0.32	
632311	ON	0.16	-0.09	0.09	-0.98	-0.03	0.32	
632438	ON	0.24	-0.09	-0.10	-0.97	-0.02	0.32	
632566	ON	0.59	-1.10	0.40	-0.99	-0.02	0.33	
632693	ON	-0.10	0.31	-0.19	-0.97	-0.01	0.33	
632820	ON	-0.10	-0.23	0.03	-0.98	-0.01	0.33	
632948	ON	0.21	0.30	0.23	-0.98	-0.01	0.33	
633075	ON	-0.05	0.02	-0.16	-0.98	-0.02	0.32	
